"","city","floor","total_area","living_area","kitchen_area","room_count","height","is_studio","view_airport","view_building","view_city","view_cottages","view_east","view_field","view_forest","view_garden","view_highway","view_house","view_mall","view_north","view_parking","view_playground","view_school","view_south","view_street","view_water","view_west","view_yard","total_price"
"17740","Екатеринбург",4,31.51,10.19,11.49,1,"2.6","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2568065
"17744","Екатеринбург",19,21.8,8.22,8.22,1,"0","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1831200
"17746","Нижний Новгород",4,36.9,14.3,12.3,1,"2.55","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3860000
"17747","Екатеринбург",0,65.79,33.83,14.84,3,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4177665
"17748","Краснодар",15,76.5,46.1,11.5,3,"2.77","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7344000
"17751","Челябинск",9,45.45,26.15,5.3,2,"2.6","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1871404
"17752","Саранск",5,44.52,17.39,11.96,1,"2.76","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760240
"17753","Тюмень",7,37.29,14.22,11.7,1,"2.51","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430000
"17754","Ижевск",2,37.59,42.14,4.87,2,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4738230
"17760","Йошкар-Ола",5,74.46,35.54,14.7,2,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3350700
"17762","Тюмень",15,27.3,12.1,2.8,1,"2.51","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120000
"17764","Самара",13,40.93,8.98,15.9,1,"2.54","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3739120
"17766","Екатеринбург",20,69.58,35.93,12.46,3,"2.65","0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7445060
"17767","Екатеринбург",8,29.44,12.22,9.25,1,"2.6","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2496512
"17770","Челябинск",6,45.45,26.15,5.3,2,"2.6","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1933125
"17773","Тюмень",15,48.98,24.07,10.99,2,"2.51","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4050000
"17778","Ставрополь",4,40.8,15.2,11.1,1,"2.8","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2806600
"17779","Йошкар-Ола",4,58.53,12.86,10.44,2,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2458260
"17781","Краснодар",3,36.6,16.7,10,1,"2.77","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4501800
"17782","Тюмень",22,81.4,42.71,18.44,3,"2.7","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7615988
"17784","Краснодар",6,36.63,14.8,10.04,1,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4175820
"17787","ПГТ Медведево",8,39.71,16.96,11.52,1,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1563000
"17789","Новосибирск",17,62.05,31.5,9,2,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3586490
"17794","Екатеринбург",16,21.8,8.22,8.22,1,"0","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1885700
"17796","Тюмень",5,27.26,12.1,2.8,1,"2.51","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520000
"17800","Саранск",10,43.29,17.01,12.34,1,"2.76","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2683980
"17801","Тюмень",7,65.33,26.56,19.79,2,"2.67","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5030000
"17803","Челябинск",10,40.63,26.36,19.75,1,"2.64","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2437800
"17805","Екатеринбург",22,34.6,10.73,15.41,1,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2525800
"17806","Чебоксары",3,73.55,36.7,14.3,2,"2.7","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7612425
"17810","Тюмень",14,81.4,42.71,18.44,3,"2.7","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7533010
"17811","Йошкар-Ола",2,58.53,12.86,10.44,2,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2107080
"17819","ПГТ Медведево",4,64.4,33.14,11.52,2,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2519000
"17820","Екатеринбург",0,28.4,12.09,7.3,1,"0","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2314600
"17822","Тюмень",6,54.81,28.83,12.68,2,"2.51","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450000
"17824","Екатеринбург",7,31.51,10.19,11.49,1,"2.6","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2615330
"17827","Краснодар",6,36.6,16.7,10,1,"2.77","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4995900
"17828","Йошкар-Ола",8,82.43,46.64,13.02,3,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2967480
"17833","Чебоксары",3,64.63,33.14,11.75,2,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2847000
"17834","Чебоксары",2,61,33.74,11.75,2,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2683000
"17837","Самара",23,43.35,15.7,16.5,1,"2.54","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2565975
"17840","Ставрополь",13,65.9,35.6,14,2,"2.8","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4049100
"17841","Пермь",5,46.4,29.5,5,1,"2.74","0",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3805000
"17850","Батайск",3,45.79,22.03,9.5,2,"2.7","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3205300
"17854","Тюмень",5,37.33,14.22,11.7,1,"2.51","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430000
"17855","Самара",24,45.65,21.4,11.1,1,"2.54","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2619982
"17856","Екатеринбург",2,73.9,38.4,15.3,3,"2.75","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6154900
"17861","Чебоксары",5,61.46,17.71,13.84,2,"2.8","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2077000
"17863","Екатеринбург",15,26.53,11.77,4.76,1,"2.64","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3926440
"17866","Казань",18,39.53,15.74,11.68,1,"2.68","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5700000
"17871","Нижний Новгород",11,41.9,13.6,12.4,1,"2.7","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4470730
"17877","Екатеринбург",13,56.02,26.72,14.57,2,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3865380
"17878","Нижний Новгород",21,85.15,43.21,18.29,3,"2.6","0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9451650
"17880","Чебоксары",5,58.4,30.4,10.7,2,"2.5","0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3212000
"17886","ПГТ Медведево",9,39.71,16.96,11.52,1,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1570000
"17887","Тюмень",15,40.7,12.52,11.25,1,"2.51","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3570000
"17888","Ижевск",16,58,23.1,16.9,2,"2.8","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800000
"17889","Ижевск",17,30.3,12.1,9.9,1,"2.8","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2e+06
"17890","Екатеринбург",18,55.76,20.3,17,2,"2.5","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7674791
"17891","Чебоксары",6,49.42,17.71,13.84,1,"2.8","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760890
"17895","Киров",9,70.9,37.3,11.2,3,"2.5","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4324900
"17898","Чебоксары",15,93.21,59.11,13.04,3,"2.8","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6105255
"17903","Челябинск",7,32.75,16.65,8.8,1,"2.6","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588359
"17904","Краснодар",19,36.8,16.7,9.9,1,"2.75","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4066400
"17905","Тюмень",12,24.2,11.81,2.8,1,"2.51","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e+06
"17906","Тула",8,66.05,35.38,7.77,2,"2.7","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4940500
"17908","Краснодар",19,37,16.8,10,1,"2.77","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4791500
"17909","Ставрополь",8,89.7,50.4,18.7,3,"2.8","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6189300
"17912","Саранск",2,43.29,17.01,12.34,1,"2.76","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2683980
