"","view_in_window","count"
"314","Ул. Аделя Кутуя",49
"315","ул. Бичурина, дет.сад",72
"316","ул. Военного Флота/Двор",45
"317","ул. Военного Флота/ул. Печатников",45
"318","ул. Галущака",69
"319","Ул. Даурская, ул. Аделя Кутуя",23
"320","ул. Курганская/двор",8
"321","ул. Лоцмановых",191
"322","ул. Лоцмановых, Частный сектор",16
"323","ул. Металлургов, ул. Лоцмановых",44
"324","Ул. Николая Кичигина",216
"325","Ул. Николая Кичигина, въезд во двор",48
"326","Ул. Николая Кичигина, двор",108
"327","Ул. Николая Кичигина, ул. Тенистая",48
"328","ул. П. Знаменского",65
"329","Ул. П. Знаменского",1
"330","ул. П. Знаменского/Юго-Восток",22
"331","ул. Печатников",270
"332","ул. Расковой",96
"333","ул. Расковой/ул. Печатников",48
"334","Ул. Серафимовича",8
"335","Ул. Серафимовича, двор",8
"336","Ул. Тенистая",264
"337","Ул. Тенистая, двор",216
"338","ул. Шолохова, соседние дома/Сибирский тракт, трасса, железная дорога",3
"339","ул. Шолохова/Сибирский тракт, трасса, железная дорога",15
"340","ул.Галущака",2
"341","Ул.Еремина",20
"342","ул.Лоцмановых",34
"343","Улица 1",108
"344","Улица 1, двор",18
"345","Улица 1, двор, дом №3",36
"346","Улица 1, двор, школа",18
"347","Улица 1, улица 2, железная дорога",18
"348","Улица 2, двор, дом №3",18
"349","Частный сектор",218
"350","Частный сектор, Город",16
"351","Частный сектор, Метромост,Молитовский мост",42
"352","Частный сектор, Мызинский мост, Город",4
"353","Частный сектор, Мызинский мост, яхт-клуб, река Ока",4
"354","Частный сектор, река Ока",12
"355","Частный сектор, река Ока, Мызинский мост",12
"356","Частный сектор, яхт-клуб, река Ока",16
"357","Школа",96
"358","Школа ",1
"359","Юг",609
"360","Юг, восток",12
"361","Юг, запад",25
"362","Юг, Запад",107
"363","Юг/Восток",17
"364","Юг/Запад",25
"365","Юго-восток",324
"366","Юго-восток/Во двор и школу",21
"367","Юго-восток/Юго-запад",22
"368","Юго-запад",172
"369","Юго-запад/Северо-запад",108
"370","Юго/Восток",6
"371","Яхт-клуб, река Ока",292
